Y,wheat,barley,corn,rice,legumes
"[-0.88966447 -0.58387297  2.91378976 -0.69475607 -0.65098522 -0.1146296
  0.45189827  0.73832405  0.90471964  1.25702801  1.29944251  1.29916262
  1.2754795   1.31201051  1.32029768  1.61917911  1.99159802  2.44640668
  2.77076374  6.21145477  9.32546367 11.4187321  13.12613154 15.88132477
 19.39490153 22.63788933 33.58083846 47.59837937 49.58121724 56.56145495
 70.84565548 34.24880583]","[ 0.66861512  2.34702386  0.88198216  3.00808766 11.02241379 15.32884367
 10.88057501  8.49813307  5.32813646  3.59452515  2.45003226  2.12169182
  1.78971234  1.57532497  1.33822644  1.30118406  1.31011848  1.31079454
  1.32522881  1.31960154  1.30918661  1.29495024  1.28944062  1.28207679
  1.2774627   1.27083333  1.29200675  1.29095616  1.31198007  1.29495206
  1.27935914  1.26676229]","[-8.87175013e-02  4.87891422e-02 -3.36210240e-01  6.05270023e-02
  4.49014778e-01  1.14629603e-01 -4.51898268e-01 -3.91381527e-01
 -2.87114576e-01 -6.18210497e-02 -1.65428708e-04  1.06459011e-02
 -3.09913394e-02 -1.82028891e-02 -1.24751463e-02 -2.99549351e-02
 -2.25146871e-02 -9.64377416e-03  3.82646466e-04 -1.25077349e-02
 -1.22543317e-02 -3.82182665e-02 -4.25751670e-02 -4.76476125e-02
 -5.49645043e-02 -5.98847727e-02 -5.86387672e-02 -5.71926499e-02
 -5.67111223e-02 -6.27058970e-02 -9.80236230e-02 -2.89982544e-02]","[ 8.87175013e-02 -4.87891422e-02 -1.72711404e-01 -6.05270023e-02
 -3.50000000e-01 -3.65668434e-01 -5.18245485e-01 -3.05441636e-01
 -2.12248678e-01 -2.17264101e-02  1.65428708e-04 -2.70734439e-02
 -3.71929415e-02 -4.67989932e-03 -8.40765779e-04 -3.29150835e-03
  1.05024779e-03  9.64377416e-03 -3.82646466e-04 -1.83609085e-03
  1.22543317e-02  2.47234069e-04  1.97631403e-03  5.41339303e-03
  1.35920052e-03  3.92284096e-03 -6.81581952e-04  1.94882428e-02
  9.38104615e-03  8.34342771e-03  1.75651971e-02 -4.72388736e-02]","[ 3.84523860e-01  7.16934268e-01  1.72711404e-01  5.98225933e-01
  3.50000000e-01  8.91245164e-01  5.13822337e-01  3.05441636e-01
  2.12248678e-01  2.17264101e-02 -3.37805423e-02 -1.06459011e-02
  3.09913394e-02  4.67989932e-03  8.40765779e-04  3.29150835e-03
 -1.05024779e-03 -1.61096113e-02 -7.84942344e-03  1.83609085e-03
 -1.59771666e-02 -2.47234069e-04 -1.97631403e-03 -5.41339303e-03
 -1.35920052e-03 -3.92284096e-03  6.81581952e-04 -2.93850136e-02
 -1.50992359e-02 -3.28189918e-02 -4.22640627e-02  2.89982544e-02]","[-0.94782508 -1.33256453 -0.94307603 -0.7641534  -1.22980296 -1.10904141
 -0.97899005 -0.56056804 -0.45413499 -0.14526675 -0.08645304 -0.08087898
 -0.08010403 -0.04341825 -0.03322161 -0.03936556 -0.03702123 -0.03341782
 -0.04282538 -0.0409925  -0.03275061 -0.05772916 -0.05715421 -0.06108843
 -0.06967125 -0.07345249 -0.0408722  -0.01948824 -0.00938105 -0.00834343
 -0.0175652  -0.0512713 ]"
Y,wheat,barley,corn,rice,legumes
"[5.29141844e-05 3.85154037e-04 3.55075001e-03 5.83782459e-05
 2.21410176e-04 3.22148247e-04 7.11751845e-04 9.79081495e-04
 1.58671360e-03 2.46897264e-03 3.74617475e-03 5.79386292e-03
 7.26755766e-03 8.21531424e-03 1.06403252e-02 1.34177415e-02
 1.65610896e-02 2.01310617e-02 2.42565171e-02 5.49195128e-02
 8.06009574e-02 9.92252197e-02 1.18243179e-01 1.45579505e-01
 1.77278714e-01 2.05746296e-01 2.63768755e-01 3.33584688e-01
 3.84945975e-01 4.45402166e-01 5.40026361e-01 2.25627649e-01]","[0.02235543 0.03487474 0.0316964  0.04858174 0.0834431  0.09620329
 0.10803675 0.12443697 0.12569827 0.12325931 0.12859223 0.17340346
 0.18821117 0.18426334 0.20265086 0.20405937 0.20710388 0.20565858
 0.22214244 0.22566204 0.21836859 0.22121905 0.22890729 0.23272129
 0.23301236 0.23201537 0.2033869  0.18102478 0.20386532 0.20601656
 0.20022864 0.16391194]","[0.32834119 0.3621019  0.29292915 0.29568138 0.31898361 0.2027477
 0.14192339 0.08137431 0.10953881 0.08366783 0.12917139 0.21605016
 0.15128098 0.10146559 0.10375912 0.06742967 0.09146582 0.13128143
 0.21513275 0.16430821 0.12641916 0.12972183 0.12458434 0.1280705
 0.13907942 0.15357451 0.12320822 0.10256649 0.12247429 0.14816178
 0.08788792 0.10219952]","[0.24734793 0.21092931 0.23183842 0.1584842  0.10655606 0.07881128
 0.07852406 0.07111397 0.09644616 0.07502006 0.08116643 0.0844981
 0.08403856 0.08984026 0.09437823 0.11155357 0.119136   0.13257757
 0.13257757 0.13309456 0.14722544 0.18846924 0.20685088 0.23643383
 0.25251777 0.28256026 0.22368157 0.23735292 0.24200577 0.27302478
 0.33891147 0.02527475]","[0.28213219 0.29808457 0.29741988 0.2701679  0.16750001 0.18227641
 0.21305633 0.19086616 0.22645224 0.0886073  0.04601649 0.09489622
 0.17936203 0.09617445 0.08778923 0.11452992 0.10113401 0.05813416
 0.099549   0.12772131 0.06125306 0.16652855 0.17394232 0.18207189
 0.21765798 0.23110502 0.20216576 0.11304717 0.16090431 0.15006487
 0.17087455 0.16652855]","[0.00749226 0.00685732 0.00812719 0.00787322 0.00876213 0.00952406
 0.01485753 0.02488953 0.01422259 0.01168284 0.01320669 0.02666736
 0.02234978 0.03200083 0.02768326 0.03923911 0.0424138  0.04444559
 0.03250878 0.04914413 0.04914413 0.05930312 0.07924015 0.0897801
 0.09701838 0.12495561 0.26984825 0.33016728 0.43124926 0.50998145
 0.55849064 0.03695334]"
Y,wheat,barley,corn,rice,legumes
"[5.29141844e-05 3.85154037e-04 3.55075001e-03 5.83782459e-05
 2.21410176e-04 3.22148247e-04 7.11751845e-04 9.79081495e-04
 1.58671360e-03 2.46897264e-03 3.74617475e-03 5.79386292e-03
 7.26755766e-03 8.21531424e-03 1.06403252e-02 1.34177415e-02
 1.65610896e-02 2.01310617e-02 2.42565171e-02 5.49195128e-02
 8.06009574e-02 9.92252197e-02 1.18243179e-01 1.45579505e-01
 1.77278714e-01 2.05746296e-01 2.63768755e-01 3.33584688e-01
 3.84945975e-01 4.45402166e-01 5.40026361e-01 2.25627649e-01]","[0.02235543 0.03487474 0.0316964  0.04858174 0.0834431  0.09620329
 0.10803675 0.12443697 0.12569827 0.12325931 0.12859223 0.17340346
 0.18821117 0.18426334 0.20265086 0.20405937 0.20710388 0.20565858
 0.22214244 0.22566204 0.21836859 0.22121905 0.22890729 0.23272129
 0.23301236 0.23201537 0.2033869  0.18102478 0.20386532 0.20601656
 0.20022864 0.16391194]","[0.32834119 0.3621019  0.29292915 0.29568138 0.31898361 0.2027477
 0.14192339 0.08137431 0.10953881 0.08366783 0.12917139 0.21605016
 0.15128098 0.10146559 0.10375912 0.06742967 0.09146582 0.13128143
 0.21513275 0.16430821 0.12641916 0.12972183 0.12458434 0.1280705
 0.13907942 0.15357451 0.12320822 0.10256649 0.12247429 0.14816178
 0.08788792 0.10219952]","[0.24734793 0.21092931 0.23183842 0.1584842  0.10655606 0.07881128
 0.07852406 0.07111397 0.09644616 0.07502006 0.08116643 0.0844981
 0.08403856 0.08984026 0.09437823 0.11155357 0.119136   0.13257757
 0.13257757 0.13309456 0.14722544 0.18846924 0.20685088 0.23643383
 0.25251777 0.28256026 0.22368157 0.23735292 0.24200577 0.27302478
 0.33891147 0.02527475]","[0.28213219 0.29808457 0.29741988 0.2701679  0.16750001 0.18227641
 0.21305633 0.19086616 0.22645224 0.0886073  0.04601649 0.09489622
 0.17936203 0.09617445 0.08778923 0.11452992 0.10113401 0.05813416
 0.099549   0.12772131 0.06125306 0.16652855 0.17394232 0.18207189
 0.21765798 0.23110502 0.20216576 0.11304717 0.16090431 0.15006487
 0.17087455 0.16652855]","[0.00749226 0.00685732 0.00812719 0.00787322 0.00876213 0.00952406
 0.01485753 0.02488953 0.01422259 0.01168284 0.01320669 0.02666736
 0.02234978 0.03200083 0.02768326 0.03923911 0.0424138  0.04444559
 0.03250878 0.04914413 0.04914413 0.05930312 0.07924015 0.0897801
 0.09701838 0.12495561 0.26984825 0.33016728 0.43124926 0.50998145
 0.55849064 0.03695334]"
Y,wheat,barley,corn,rice,legumes
"[5.29141844e-05 3.85154037e-04 3.55075001e-03 5.83782459e-05
 2.21410176e-04 3.22148247e-04 7.11751845e-04 9.79081495e-04
 1.58671360e-03 2.46897264e-03 3.74617475e-03 5.79386292e-03
 7.26755766e-03 8.21531424e-03 1.06403252e-02 1.34177415e-02
 1.65610896e-02 2.01310617e-02 2.42565171e-02 5.49195128e-02
 8.06009574e-02 9.92252197e-02 1.18243179e-01 1.45579505e-01
 1.77278714e-01 2.05746296e-01 2.63768755e-01 3.33584688e-01
 3.84945975e-01 4.45402166e-01 5.40026361e-01 2.25627649e-01]","[0.02235543 0.03487474 0.0316964  0.04858174 0.0834431  0.09620329
 0.10803675 0.12443697 0.12569827 0.12325931 0.12859223 0.17340346
 0.18821117 0.18426334 0.20265086 0.20405937 0.20710388 0.20565858
 0.22214244 0.22566204 0.21836859 0.22121905 0.22890729 0.23272129
 0.23301236 0.23201537 0.2033869  0.18102478 0.20386532 0.20601656
 0.20022864 0.16391194]","[0.32834119 0.3621019  0.29292915 0.29568138 0.31898361 0.2027477
 0.14192339 0.08137431 0.10953881 0.08366783 0.12917139 0.21605016
 0.15128098 0.10146559 0.10375912 0.06742967 0.09146582 0.13128143
 0.21513275 0.16430821 0.12641916 0.12972183 0.12458434 0.1280705
 0.13907942 0.15357451 0.12320822 0.10256649 0.12247429 0.14816178
 0.08788792 0.10219952]","[0.24734793 0.21092931 0.23183842 0.1584842  0.10655606 0.07881128
 0.07852406 0.07111397 0.09644616 0.07502006 0.08116643 0.0844981
 0.08403856 0.08984026 0.09437823 0.11155357 0.119136   0.13257757
 0.13257757 0.13309456 0.14722544 0.18846924 0.20685088 0.23643383
 0.25251777 0.28256026 0.22368157 0.23735292 0.24200577 0.27302478
 0.33891147 0.02527475]","[0.28213219 0.29808457 0.29741988 0.2701679  0.16750001 0.18227641
 0.21305633 0.19086616 0.22645224 0.0886073  0.04601649 0.09489622
 0.17936203 0.09617445 0.08778923 0.11452992 0.10113401 0.05813416
 0.099549   0.12772131 0.06125306 0.16652855 0.17394232 0.18207189
 0.21765798 0.23110502 0.20216576 0.11304717 0.16090431 0.15006487
 0.17087455 0.16652855]","[0.00749226 0.00685732 0.00812719 0.00787322 0.00876213 0.00952406
 0.01485753 0.02488953 0.01422259 0.01168284 0.01320669 0.02666736
 0.02234978 0.03200083 0.02768326 0.03923911 0.0424138  0.04444559
 0.03250878 0.04914413 0.04914413 0.05930312 0.07924015 0.0897801
 0.09701838 0.12495561 0.26984825 0.33016728 0.43124926 0.50998145
 0.55849064 0.03695334]"
Y,wheat,barley,corn,rice,legumes
"[-1.25392084 -0.67447169  2.00626125 -0.82739213 -0.52885861 -0.44449565
 -0.28771546 -0.19988438 -0.00521358  0.35779961  0.72515096  0.87554389
  1.04303715  1.21512287  1.39976691  1.6280619   1.7925137   1.9249608
  1.9828448   2.18416972  2.21363004  2.22124905  2.22496722  2.2285737
  2.23106565  2.23242976  2.2343924   2.23524208  2.23528708  2.23547848
  2.23569431  2.2345178 ]","[ 1.32067117  1.87583098  0.37204985  2.08305683  2.21565467  2.22426107
  2.21764491  2.21449746  2.18113284  2.08956229  1.92640137  1.83959821
  1.72703204  1.59554774  1.42812964  1.17551539  0.95077425  0.72941504
  0.6157038   0.03226294 -0.13324676 -0.19266045 -0.2271615  -0.26669421
 -0.29996043 -0.32176683 -0.36215919 -0.38757271 -0.38920852 -0.39684329
 -0.40718976 -0.36546315]","[ 0.06940501 -0.12396447 -0.60775941 -0.23373682 -0.27023945 -0.40487781
 -0.50484137 -0.55138022 -0.59429722 -0.61928547 -0.63167892 -0.63467618
 -0.69473475 -0.70670951 -0.70863672 -0.718861   -0.69524716 -0.66071137
 -0.6372936  -0.55372663 -0.52011701 -0.51054048 -0.50310638 -0.49396746
 -0.48610197 -0.48083955 -0.47077324 -0.46393077 -0.46362702 -0.461508
 -0.45951773 -0.46760821]","[ 0.36256341 -0.20887164 -0.476255   -0.32888572 -0.45809448 -0.48787719
 -0.52078047 -0.52464094 -0.55729352 -0.58958088 -0.6313335  -0.67888555
 -0.70298366 -0.6871721  -0.6902315  -0.68091563 -0.66614059 -0.64040589
 -0.63801739 -0.54903222 -0.51294176 -0.50136879 -0.49387694 -0.4848984
 -0.47823349 -0.47321205 -0.46611253 -0.45958762 -0.46003345 -0.45812395
 -0.45512641 -0.46904612]","[ 0.85129514  0.45741809 -0.19842659  0.18889654 -0.29351865 -0.27067238
 -0.27283897 -0.33457112 -0.34747873 -0.55738834 -0.66677412 -0.65963147
 -0.61228992 -0.67364949 -0.68757137 -0.67154718 -0.66873505 -0.66751845
 -0.64507923 -0.54741684 -0.52120692 -0.50148669 -0.49469578 -0.48674889
 -0.47861325 -0.47414991 -0.46600291 -0.46235576 -0.4613645  -0.4600845
 -0.45739937 -0.46303633]","[-1.35001389 -1.32594126 -1.09587009 -0.8819387  -0.66494348 -0.61633803
 -0.63146864 -0.6040208  -0.6768498  -0.68110721 -0.7217658  -0.74194891
 -0.76006085 -0.74313952 -0.74145695 -0.73225349 -0.71316514 -0.68574013
 -0.67815838 -0.56625697 -0.52611758 -0.51519265 -0.50612662 -0.49626473
 -0.48815652 -0.48246142 -0.46934452 -0.46179522 -0.46105359 -0.45891874
 -0.45646104 -0.46936399]"
Y,wheat,barley,corn,rice,legumes
"[-1.25392084 -0.67447169  2.00626125 -0.82739213 -0.52885861 -0.44449565
 -0.28771546 -0.19988438 -0.00521358  0.35779961  0.72515096  0.87554389
  1.04303715  1.21512287  1.39976691  1.6280619   1.7925137   1.9249608
  1.9828448   2.18416972  2.21363004  2.22124905  2.22496722  2.2285737
  2.23106565  2.23242976  2.2343924   2.23524208  2.23528708  2.23547848
  2.23569431  2.2345178 ]","[ 1.32067117  1.87583098  0.37204985  2.08305683  2.21565467  2.22426107
  2.21764491  2.21449746  2.18113284  2.08956229  1.92640137  1.83959821
  1.72703204  1.59554774  1.42812964  1.17551539  0.95077425  0.72941504
  0.6157038   0.03226294 -0.13324676 -0.19266045 -0.2271615  -0.26669421
 -0.29996043 -0.32176683 -0.36215919 -0.38757271 -0.38920852 -0.39684329
 -0.40718976 -0.36546315]","[ 0.06940501 -0.12396447 -0.60775941 -0.23373682 -0.27023945 -0.40487781
 -0.50484137 -0.55138022 -0.59429722 -0.61928547 -0.63167892 -0.63467618
 -0.69473475 -0.70670951 -0.70863672 -0.718861   -0.69524716 -0.66071137
 -0.6372936  -0.55372663 -0.52011701 -0.51054048 -0.50310638 -0.49396746
 -0.48610197 -0.48083955 -0.47077324 -0.46393077 -0.46362702 -0.461508
 -0.45951773 -0.46760821]","[ 0.36256341 -0.20887164 -0.476255   -0.32888572 -0.45809448 -0.48787719
 -0.52078047 -0.52464094 -0.55729352 -0.58958088 -0.6313335  -0.67888555
 -0.70298366 -0.6871721  -0.6902315  -0.68091563 -0.66614059 -0.64040589
 -0.63801739 -0.54903222 -0.51294176 -0.50136879 -0.49387694 -0.4848984
 -0.47823349 -0.47321205 -0.46611253 -0.45958762 -0.46003345 -0.45812395
 -0.45512641 -0.46904612]","[ 0.85129514  0.45741809 -0.19842659  0.18889654 -0.29351865 -0.27067238
 -0.27283897 -0.33457112 -0.34747873 -0.55738834 -0.66677412 -0.65963147
 -0.61228992 -0.67364949 -0.68757137 -0.67154718 -0.66873505 -0.66751845
 -0.64507923 -0.54741684 -0.52120692 -0.50148669 -0.49469578 -0.48674889
 -0.47861325 -0.47414991 -0.46600291 -0.46235576 -0.4613645  -0.4600845
 -0.45739937 -0.46303633]","[-1.35001389 -1.32594126 -1.09587009 -0.8819387  -0.66494348 -0.61633803
 -0.63146864 -0.6040208  -0.6768498  -0.68110721 -0.7217658  -0.74194891
 -0.76006085 -0.74313952 -0.74145695 -0.73225349 -0.71316514 -0.68574013
 -0.67815838 -0.56625697 -0.52611758 -0.51519265 -0.50612662 -0.49626473
 -0.48815652 -0.48246142 -0.46934452 -0.46179522 -0.46105359 -0.45891874
 -0.45646104 -0.46936399]"
Y,wheat,barley,corn,rice,legumes
